Country Name,Country Code,Year,Value
Cyprus,CYP,1960,572930
Cyprus,CYP,1961,576395
Cyprus,CYP,1962,577691
Cyprus,CYP,1963,577913
Cyprus,CYP,1964,578625
Cyprus,CYP,1965,580966
Cyprus,CYP,1966,585309
Cyprus,CYP,1967,591308
Cyprus,CYP,1968,598495
Cyprus,CYP,1969,606116
Cyprus,CYP,1970,613618
Cyprus,CYP,1971,620859
Cyprus,CYP,1972,627998
Cyprus,CYP,1973,635107
Cyprus,CYP,1974,642332
Cyprus,CYP,1975,649751
Cyprus,CYP,1976,657527
Cyprus,CYP,1977,665525
Cyprus,CYP,1978,673247
Cyprus,CYP,1979,680005
Cyprus,CYP,1980,685405
Cyprus,CYP,1981,689173
Cyprus,CYP,1982,691702
Cyprus,CYP,1983,694077
Cyprus,CYP,1984,697714
Cyprus,CYP,1985,703685
Cyprus,CYP,1986,712340
Cyprus,CYP,1987,723376
Cyprus,CYP,1988,736474
Cyprus,CYP,1989,751047
Cyprus,CYP,1990,766615
Cyprus,CYP,1991,783124
Cyprus,CYP,1992,800611
Cyprus,CYP,1993,818746
Cyprus,CYP,1994,837110
Cyprus,CYP,1995,855383
Cyprus,CYP,1996,873423
Cyprus,CYP,1997,891190
Cyprus,CYP,1998,908702
Cyprus,CYP,1999,926046
Cyprus,CYP,2000,943290
Cyprus,CYP,2001,960276
Cyprus,CYP,2002,976964
Cyprus,CYP,2003,993563
Cyprus,CYP,2004,1010408
Cyprus,CYP,2005,1027662
Cyprus,CYP,2006,1045507
Cyprus,CYP,2007,1063713
Cyprus,CYP,2008,1081563
Cyprus,CYP,2009,1098083
Cyprus,CYP,2010,1112612
Cyprus,CYP,2011,1124833
Cyprus,CYP,2012,1135046
Cyprus,CYP,2013,1143866
Cyprus,CYP,2014,1152285
Cyprus,CYP,2015,1160985
Cyprus,CYP,2016,1170187
Cyprus,CYP,2017,1179680
Cyprus,CYP,2018,1189265
Equatorial Guinea,GNQ,1960,255333
Equatorial Guinea,GNQ,1961,258791
Equatorial Guinea,GNQ,1962,262219
Equatorial Guinea,GNQ,1963,266000
Equatorial Guinea,GNQ,1964,270618
Equatorial Guinea,GNQ,1965,276300
Equatorial Guinea,GNQ,1966,283506
